loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9584,6.514002799987793,1.6574585635359117e-05,0.33185840707964603,150,,,,,,,,,,,
,,,0.33185840707964603,150,1.5249391794204712,0.4932214331826985,0.46140179412215687,43.0948,71.888,1.137,,,,,
1.3526,10.206649780273438,1.8537185003073142e-05,0.6637168141592921,300,,,,,,,,,,,
,,,0.6637168141592921,300,1.1923222541809082,0.592963202065849,0.5818714929711981,43.2099,71.697,1.134,,,,,
1.1518,10.676207542419434,1.6693300553165337e-05,0.995575221238938,450,,,,,,,,,,,
,,,0.995575221238938,450,1.1191718578338623,0.6149128469980633,0.6096537969924507,43.406,71.373,1.129,,,,,
0.963,8.414754867553711,1.484941610325753e-05,1.3274336283185841,600,,,,,,,,,,,
,,,1.3274336283185841,600,1.0991973876953125,0.6245965138799225,0.6188622516302991,43.2806,71.579,1.132,,,,,
0.9522,9.937458038330078,1.3005531653349725e-05,1.6592920353982301,750,,,,,,,,,,,
,,,1.6592920353982301,750,1.0820398330688477,0.6291155584247902,0.6239546433840429,43.1798,71.746,1.135,,,,,
0.9308,13.576353073120117,1.1161647203441918e-05,1.991150442477876,900,,,,,,,,,,,
,,,1.991150442477876,900,1.0777525901794434,0.6375080697224016,0.634598914053782,43.2309,71.662,1.133,,,,,
0.7101,11.609850883483887,9.317762753534113e-06,2.3230088495575223,1050,,,,,,,,,,,
,,,2.3230088495575223,1050,1.1013243198394775,0.6352485474499677,0.6302482811865959,43.3349,71.49,1.131,,,,,
0.7105,10.535356521606445,7.473878303626307e-06,2.6548672566371683,1200,,,,,,,,,,,
,,,2.6548672566371683,1200,1.082380771636963,0.6365397030342156,0.6346379868461032,43.2442,71.64,1.133,,,,,
0.6984,13.456147193908691,5.629993853718501e-06,2.9867256637168142,1350,,,,,,,,,,,
,,,2.9867256637168142,1350,1.1085000038146973,0.6381536475145255,0.6344266461042074,43.2258,71.67,1.134,,,,,
0.5484,11.531476020812988,3.7861094038106948e-06,3.3185840707964602,1500,,,,,,,,,,,
,,,3.3185840707964602,1500,1.1227024793624878,0.6404131697869593,0.6389171073112938,43.6575,70.962,1.122,,,,,
0.5542,10.120755195617676,1.942224953902889e-06,3.650442477876106,1650,,,,,,,,,,,
,,,3.650442477876106,1650,1.1303019523620605,0.6420271142672692,0.6395278481139903,43.4163,71.356,1.129,,,,,
0.5191,9.556539535522461,9.834050399508297e-08,3.982300884955752,1800,,,,,,,,,,,
,,,3.982300884955752,1800,1.1305267810821533,0.6384764364105875,0.6365125328012537,43.2239,71.673,1.134,,,,,
,,,4.0,1808,,,,,,,4486.0812,12.894,0.403,3671573980527486.0,0.9191690875893146
